Customer_Name,Total_Rentals
"STEPHANIE MITCHELL",25
"MILDRED BAILEY",25
"ASHLEY RICHARDSON",25
"JUDY GRAY",25
"LOUISE JENKINS",25
"LILLIAN GRIFFIN",25
"DANIELLE DANIELS",25
"GAIL KNIGHT",25
"BERTHA FERGUSON",25
"MELANIE ARMSTRONG",25
"KATIE ELLIOTT",25
"BETH FRANKLIN",25
"VICKI FIELDS",25
"TAMARA NGUYEN",25
"CONSTANCE REID",25
"JACKIE LYNCH",25
"GWENDOLYN MAY",25
"LEAH CURTIS",25
"RICHARD MCCRARY",25
"THOMAS GRIGSBY",25
"GARY COY",25
"JOSE ANDREW",25
"SCOTT SHELLEY",25
"DOUGLAS GRAF",25
"WILLIE MARKHAM",25
"FRED WHEAT",25
"ERNEST STEPP",25
"VINCENT RALSTON",25
"TRAVIS ESTEP",25
"CHAD CARBONE",25
"DON BONE",25
"RICKY SHELBY",25
"RONNIE RICKETTS",25
"LEON BOSTIC",25
"DARRELL POWER",25
"EDGAR RHOADS",25
"MILTON HOWLAND",25
"BRAD MCCURDY",25
"CLAUDE HERZOG",25
"JAMIE WAUGH",25
"FERNANDO CHURCHILL",25
"CLINTON BUFORD",25
"KELLY KNOTT",25
"WALLACE SLONE",25
"SIDNEY BURLESON",25
"ANDY VANHORN",25
"SETH HANNON",25
"FREDDIE DUGGAN",25
"SUSAN WILSON",24
"LISA ANDERSON",24
"RUTH MARTINEZ",24
"REBECCA SCOTT",24
"CHRISTINE ROBERTS",24
"BEVERLY BROOKS",24
"EMILY DIAZ",24
"ROBIN HAYES",24
"PEGGY MYERS",24
"RITA GRAHAM",24
"SHANNON FREEMAN",24
"ELAINE STEVENS",24
"CHARLOTTE HUNTER",24
"SUZANNE NICHOLS",24
"ANNETTE OLSON",24
"COLLEEN BURTON",24
"LYDIA BURKE",24
"MYRTLE FLEMING",24
"BOBBIE CRAIG",24
"JACK FOUST",24
"AARON SELBY",24
"VICTOR BARKLEY",24
"JESUS MCCARTNEY",24
"JON WILES",24
"PEDRO CHESTNUT",24
"SAM MCDUFFIE",24
"CHESTER BENNER",24
"CORY MEEHAN",24
"CHRISTIAN JUNG",24
"TYRONE ASHER",24
"DARREN WINDHAM",24
"MAX PITT",24
"FELIX GAFFNEY",24
"BOB PFEIFFER",24
"JOHNNIE CHISHOLM",24
"PERRY SWAFFORD",24
"MARGARET MOORE",23
"PAMELA BAKER",23
"JOAN COOPER",23
"IRENE PRICE",23
"ANNE POWELL",23
"PHYLLIS FOSTER",23
"CONNIE WALLACE",23
"EMMA BOYD",23
"SAMANTHA DUNCAN",23
"STACY CUNNINGHAM",23
"IDA ANDREWS",23
"VIVIAN RUIZ",23
"ROBERTA HARPER",23
"LAURIE LAWRENCE",23
"NATALIE MEYER",23
"AGNES BISHOP",23
"LILLIE KIM",23
"MARIAN MENDOZA",23
"DORA MEDINA",23
"TONI HOLT",23
"PAUL TROUT",23
"DONALD MAHON",23
"JEFFREY SPEAR",23
"GREGORY MAULDIN",23
"PETER MENARD",23
"CARL ARTIS",23
"JUAN FRALEY",23
"ALBERT CROUSE",23
"BENJAMIN VARNEY",23
"BRUCE SCHWARZ",23
"CARLOS COUGHLIN",23
"SEAN DOUGLASS",23
"RODNEY MOELLER",23
"GLENN PULLEN",23
"JOEL FRANCISCO",23
"EDWIN BURK",23
"RANDALL NEUMANN",23
"CALVIN MARTEL",23
"LEO EBERT",23
"BRENT HARKINS",23
"RON DELUCA",23
"ROLAND SOUTH",23
"DARRYL ASHCRAFT",23
"KURT EMMONS",23
"MARSHALL THORN",23
"BARBARA JONES",22
"CAROL GARCIA",22
"LAURA RODRIGUEZ",22
"FRANCES PARKER",22
"DORIS REED",22
"ROSE HOWARD",22
"KELLY TORRES",22
"NICOLE PETERSON",22
"RACHEL BARNES",22
"ANDREA HENDERSON",22
"LESLIE GORDON",22
"ERICA MATTHEWS",22
"LORETTA CARPENTER",22
"PEARL GARZA",22
"STELLA MORENO",22
"MATTIE HOFFMAN",22
"KEVIN SCHULER",22
"TIMOTHY BUNN",22
"ADAM GOOCH",22
"CHRIS BROTHERS",22
"RAY HOULE",22
"BERNARD COLBY",22
"FRANCISCO SKIDMORE",22
"DERRICK BOURQUE",22
"DAN PAINE",22
"COREY HAUSER",22
"SHANE MILLARD",22
"FRANKLIN TROUTMAN",22
"HARVEY GUAJARDO",22
"MATHEW BOLIN",22
"LANCE PEMBERTON",22
"CODY NOLEN",22
"DWAYNE OLVERA",22
"WILLARD LUMPKIN",22
"WADE DELVALLE",22
"DONNA THOMPSON",21
"ANNA HILL",21
"BONNIE HUGHES",21
"NORMA GONZALES",21
"KIM CRUZ",21
"ALICIA MILLS",21
"JILL HAWKINS",21
"LORRAINE STEPHENS",21
"YVONNE WATKINS",21
"DELORES HANSEN",21
"MAUREEN LITTLE",21
"NELLIE GARRETT",21
"ROBERT BAUGHMAN",21
"SAMUEL MARLOW",21
"DANNY ISOM",21
"TONY CARRANZA",21
"ALLEN BUTTERFIELD",21
"MARVIN YEE",21
"JACOB LANCE",21
"FREDERICK ISBELL",21
"RICARDO MEADOR",21
"TYLER WREN",21
"RUBEN GEARY",21
"RAFAEL ABNEY",21
"JULIO NOLAND",21
"HUGH WALDROP",21
"ARMANDO GRUBER",21
"ALBERTO HENNING",21
"LAUREN HUDSON",20
"JEANETTE GREENE",20
"TARA RYAN",20
"WILMA RICHARDS",20
"JO FOWLER",20
"KAY CALDWELL",20
"DANIEL CABRAL",20
"ANTHONY SCHWAB",20
"TERRY GRISSOM",20
"LUIS YANEZ",20
"HERBERT KRUGER",20
"OSCAR AQUINO",20
"RAUL FORTIER",20
"NELSON CHRISTENSON",20
"ALFREDO MCADAMS",20
"EDITH MCDONALD",19
"VANESSA SIMS",19
"WAYNE TRUONG",19
"EUGENE CULPEPPER",19
"JOHNNY TURPIN",19
"LLOYD DOWD",19
"LEWIS LYMAN",19
"JARED ELY",19
"ADRIAN CLARY",19
"ALLAN CORNISH",19
"KIRK STCLAIR",19
"AUSTIN CINTRON",19
"CHRISTINA RAMIREZ",18
"PAULA BRYANT",18
"ANNIE RUSSELL",18
"SHEILA WELLS",18
"EVA RAMOS",18
"KRISTEN CHAVEZ",18
"EILEEN CARR",18
"VERA MCCOY",18
"IRMA PEARSON",18
"PENNY NEAL",18
"HENRY BILLINGSLEY",18
"JONATHAN SCARBOROUGH",18
"VERNON CHAPA",18
"LONNIE TIRADO",18
"ANN EVANS",17
"MELINDA FERNANDEZ",17
"KENNETH GOODEN",17
"FLOYD GANDY",17
"DWIGHT LOMBARDI",17
"JOANN GARDNER",16
"ANTONIO MEEK",16
"JEROME KENYON",16
"LESTER KRAUS",16
"ANITA MORALES",15
"CAROLINE BOWMAN",15
"KATHERINE RIVERA",14
"TIFFANY JORDAN",14
"LEONA OBRIEN",14
"BRIAN WYMAN",12
