Customer_Name,Last_Rental_Date
"IRMA PEARSON","2005-08-21 17:45:21"
"NATHAN RUNYON","2005-08-21 17:45:52"
"CHRISTY VARGAS","2005-08-21 17:59:09"
"RENE MCALISTER","2005-08-21 19:35:59"
"DANIELLE DANIELS","2005-08-21 19:47:55"
"THELMA MURRAY","2005-08-21 19:51:09"
"JOYCE EDWARDS","2005-08-21 20:02:18"
"RODNEY MOELLER","2005-08-21 20:49:21"
"REBECCA SCOTT","2005-08-21 20:54:32"
"LYDIA BURKE","2005-08-21 21:02:55"
"VIRGINIA GREEN","2005-08-21 22:25:09"
"WALTER PERRYMAN","2005-08-21 23:24:52"
"BRADLEY MOTLEY","2005-08-22 01:32:14"
"SAMANTHA DUNCAN","2005-08-22 03:55:02"
"KURT EMMONS","2005-08-22 03:57:08"
"CAROLINE BOWMAN","2005-08-22 03:58:29"
"JAMES GANNON","2005-08-22 04:26:34"
"MYRTLE FLEMING","2005-08-22 04:31:37"
"ALICE STEWART","2005-08-22 04:31:50"
"VICTORIA GIBSON","2005-08-22 04:44:09"
"VIOLET RODRIQUEZ","2005-08-22 05:03:59"
"JENNIE TERRY","2005-08-22 05:59:59"
"DAVID ROYAL","2005-08-22 06:05:38"
"NICHOLAS BARFIELD","2005-08-22 06:17:12"
"OSCAR AQUINO","2005-08-22 06:37:43"
"CARRIE PORTER","2005-08-22 06:46:59"
"EUGENE CULPEPPER","2005-08-22 06:52:49"
"DANIEL CABRAL","2005-08-22 06:53:21"
"DARLENE ROSE","2005-08-22 07:04:25"
"JESSE SCHILLING","2005-08-22 07:16:36"
"LONNIE TIRADO","2005-08-22 07:20:55"
"RANDALL NEUMANN","2005-08-22 07:52:18"
"TINA SIMMONS","2005-08-22 07:53:14"
"EDUARDO HIATT","2005-08-22 07:54:47"
"GLENDA FRAZIER","2005-08-22 08:06:00"
"ANNIE RUSSELL","2005-08-22 08:20:15"
"TIMOTHY BUNN","2005-08-22 08:27:27"
"RAY HOULE","2005-08-22 09:11:48"
"JACKIE LYNCH","2005-08-22 09:33:08"
"HARVEY GUAJARDO","2005-08-22 09:41:09"
"RENEE LANE","2005-08-22 09:49:32"
"SHIRLEY ALLEN","2005-08-22 10:00:04"
"ETHEL WEBB","2005-08-22 10:14:39"
"BOB PFEIFFER","2005-08-22 10:22:00"
"BEN EASTER","2005-08-22 10:46:44"
"JIMMY SCHRADER","2005-08-22 11:17:37"
"KELLY TORRES","2005-08-22 11:19:22"
"DWIGHT LOMBARDI","2005-08-22 11:58:58"
"MISTY LAMBERT","2005-08-22 12:38:20"
"BOBBIE CRAIG","2005-08-22 12:41:33"
"DEBRA NELSON","2005-08-22 12:51:38"
"BESSIE MORRISON","2005-08-22 12:53:22"
"RICKY SHELBY","2005-08-22 13:19:25"
"THERESA WATSON","2005-08-22 13:57:55"
"DARRELL POWER","2005-08-22 14:23:11"
"CONNIE WALLACE","2005-08-22 14:27:37"
"DORA MEDINA","2005-08-22 14:33:50"
"CHESTER BENNER","2005-08-22 15:25:33"
"DENNIS GILMAN","2005-08-22 15:26:29"
"NINA SOTO","2005-08-22 15:49:54"
"RITA GRAHAM","2005-08-22 15:52:57"
"ANTONIO MEEK","2005-08-22 15:56:42"
"AMANDA CARTER","2005-08-22 16:06:49"
"JILL HAWKINS","2005-08-22 16:14:25"
"EARL SHANKS","2005-08-22 16:15:33"
"JARED ELY","2005-08-22 16:33:39"
"LEROY BUSTAMANTE","2005-08-22 16:35:25"
"MARION OCAMPO","2005-08-22 16:37:32"
"STEPHEN QUALLS","2005-08-22 16:37:36"
"JULIAN VEST","2005-08-22 16:53:29"
"HENRY BILLINGSLEY","2005-08-22 16:55:26"
"TERRY CARLSON","2005-08-22 17:12:29"
"ANN EVANS","2005-08-22 17:27:23"
"ASHLEY RICHARDSON","2005-08-22 17:30:25"
"BENJAMIN VARNEY","2005-08-22 17:48:10"
"PENNY NEAL","2005-08-22 17:48:42"
"JO FOWLER","2005-08-22 17:52:05"
"SARA PERRY","2005-08-22 18:16:50"
"ROBERT BAUGHMAN","2005-08-22 18:39:11"
"ANDRE RAPP","2005-08-22 18:55:52"
"AGNES BISHOP","2005-08-22 19:02:48"
"PEDRO CHESTNUT","2005-08-22 19:23:58"
"STANLEY SCROGGINS","2005-08-22 19:28:02"
"RAMON CHOATE","2005-08-22 19:28:04"
"DORIS REED","2005-08-22 19:37:20"
"ANTHONY SCHWAB","2005-08-22 19:44:53"
"ERIK GUILLEN","2005-08-22 19:46:05"
"FRANK WAGGONER","2005-08-22 19:54:31"
"RALPH MADRIGAL","2005-08-22 19:56:41"
"ANDREW PURDY","2005-08-22 19:59:42"
"MARY SMITH","2005-08-22 20:03:46"
"ERNEST STEPP","2005-08-22 20:20:04"
"JESUS MCCARTNEY","2005-08-22 20:35:30"
"DALE RATCLIFF","2005-08-22 20:44:35"
"ROY WHITING","2005-08-22 20:44:55"
"KAREN JACKSON","2005-08-22 20:51:24"
"TED BREAUX","2005-08-22 21:01:25"
"OLGA JIMENEZ","2005-08-22 21:05:50"
"NORA HERRERA","2005-08-22 21:06:00"
"RON DELUCA","2005-08-22 21:12:19"
"MATHEW BOLIN","2005-08-22 21:24:19"
"KIMBERLY LEE","2005-08-22 21:28:59"
"JANE BENNETT","2005-08-22 21:34:00"
"JAMIE WAUGH","2005-08-22 21:36:51"
"DOROTHY TAYLOR","2005-08-22 21:59:29"
"SHAWN HEATON","2005-08-22 22:21:35"
"PATRICK NEWSOM","2005-08-22 22:25:17"
"TIFFANY JORDAN","2005-08-22 22:28:36"
"RANDY GAITHER","2005-08-22 22:30:50"
"EDDIE TOMLIN","2005-08-22 22:37:34"
"GEORGIA JACOBS","2005-08-22 22:51:13"
"CLAYTON BARBEE","2005-08-22 22:57:25"
"EDGAR RHOADS","2005-08-22 23:04:21"
"RONALD WEINER","2005-08-22 23:07:57"
"DEANNA BYRD","2005-08-22 23:08:46"
"BERTHA FERGUSON","2005-08-22 23:26:32"
"MIKE WAY","2005-08-22 23:27:43"
"ROSEMARY SCHMIDT","2005-08-22 23:48:56"
"EILEEN CARR","2005-08-22 23:54:14"
"GERALDINE PERKINS","2005-08-22 23:55:51"
"CHRISTOPHER GRECO","2005-08-22 23:58:09"
"LUIS YANEZ","2005-08-23 00:11:52"
"EDITH MCDONALD","2005-08-23 00:26:52"
"ELSIE KELLEY","2005-08-23 00:27:18"
"GABRIEL HARDER","2005-08-23 00:28:16"
"HARRY ARCE","2005-08-23 00:31:09"
"ANITA MORALES","2005-08-23 00:34:28"
"WADE DELVALLE","2005-08-23 00:44:15"
"SAM MCDUFFIE","2005-08-23 00:55:24"
"NELLIE GARRETT","2005-08-23 01:05:00"
"SHARON ROBINSON","2005-08-23 01:10:42"
"DANNY ISOM","2005-08-23 01:25:30"
"VINCENT RALSTON","2005-08-23 01:59:14"
"PHILLIP HOLM","2005-08-23 02:06:01"
"MIRIAM MCKINNEY","2005-08-23 02:06:41"
"JON WILES","2005-08-23 02:25:09"
"CAROLE BARNETT","2005-08-23 02:30:23"
"SHANE MILLARD","2005-08-23 02:37:19"
"HAZEL WARREN","2005-08-23 02:39:56"
"DON BONE","2005-08-23 02:40:04"
"AARON SELBY","2005-08-23 02:46:13"
"MAX PITT","2005-08-23 02:48:24"
"TONYA CHAPMAN","2005-08-23 02:51:27"
"WILLIAM SATTERFIELD","2005-08-23 02:55:42"
"JOSEPH JOY","2005-08-23 03:03:53"
"KATHRYN COLEMAN","2005-08-23 03:12:54"
"FRANCISCO SKIDMORE","2005-08-23 03:23:32"
"ERIC ROBERT","2005-08-23 03:30:51"
"NICOLE PETERSON","2005-08-23 03:36:26"
"RUTH MARTINEZ","2005-08-23 03:46:47"
"LILLIAN GRIFFIN","2005-08-23 03:58:28"
"SUE PETERS","2005-08-23 04:12:52"
"DUANE TUBBS","2005-08-23 04:20:16"
"BEATRICE ARNOLD","2005-08-23 04:27:06"
"CARL ARTIS","2005-08-23 04:28:25"
"CONSTANCE REID","2005-08-23 04:33:39"
"RYAN SALISBURY","2005-08-23 04:51:52"
"BRAD MCCURDY","2005-08-23 04:55:05"
"VALERIE BLACK","2005-08-23 05:04:33"
"STEVE MACKENZIE","2005-08-23 05:08:58"
"KELLY KNOTT","2005-08-23 05:13:09"
"IRENE PRICE","2005-08-23 05:17:23"
"TERESA ROGERS","2005-08-23 05:20:36"
"ARMANDO GRUBER","2005-08-23 05:24:09"
"DONALD MAHON","2005-08-23 05:24:29"
"VERA MCCOY","2005-08-23 05:30:19"
"COREY HAUSER","2005-08-23 05:38:41"
"ELEANOR HUNT","2005-08-23 05:57:04"
"MARC OUTLAW","2005-08-23 06:00:28"
"JOAN COOPER","2005-08-23 06:11:52"
"SUZANNE NICHOLS","2005-08-23 06:15:09"
"ALFREDO MCADAMS","2005-08-23 06:18:43"
"JACOB LANCE","2005-08-23 06:21:20"
"JANICE WARD","2005-08-23 06:23:26"
"JENNIFER DAVIS","2005-08-23 06:41:32"
"LLOYD DOWD","2005-08-23 06:44:19"
"CODY NOLEN","2005-08-23 06:48:47"
"ALEX GRESHAM","2005-08-23 06:55:26"
"VIVIAN RUIZ","2005-08-23 06:56:18"
"RICHARD MCCRARY","2005-08-23 06:59:07"
"DEREK BLAKELY","2005-08-23 07:03:19"
"SALVADOR TEEL","2005-08-23 07:06:00"
"CHRISTINA RAMIREZ","2005-08-23 07:06:38"
"LINDA WILLIAMS","2005-08-23 07:10:14"
"LEAH CURTIS","2005-08-23 07:10:22"
"GERTRUDE CASTILLO","2005-08-23 07:25:29"
"CALVIN MARTEL","2005-08-23 07:25:38"
"VELMA LUCAS","2005-08-23 07:28:22"
"BARBARA JONES","2005-08-23 07:43:00"
"MARLENE WELCH","2005-08-23 08:06:49"
"ERIKA PENA","2005-08-23 08:13:26"
"JIM REA","2005-08-23 08:31:49"
"WILLARD LUMPKIN","2005-08-23 08:34:10"
"DEAN SAUER","2005-08-23 08:34:53"
"KATHLEEN ADAMS","2005-08-23 08:42:40"
"MELINDA FERNANDEZ","2005-08-23 08:52:50"
"TONI HOLT","2005-08-23 08:54:26"
"HECTOR POINDEXTER","2005-08-23 08:59:12"
"RUBY WASHINGTON","2005-08-23 09:16:39"
"MAE FLETCHER","2005-08-23 09:18:52"
"JONATHAN SCARBOROUGH","2005-08-23 09:23:08"
"EDNA WEST","2005-08-23 09:23:36"
"MARVIN YEE","2005-08-23 09:23:45"
"ERICA MATTHEWS","2005-08-23 09:33:22"
"KATHERINE RIVERA","2005-08-23 09:35:34"
"KIRK STCLAIR","2005-08-23 09:40:04"
"RICK MATTOX","2005-08-23 09:41:28"
"LENA JENSEN","2005-08-23 09:52:55"
"DWAYNE OLVERA","2005-08-23 09:53:30"
"LESLIE SEWARD","2005-08-23 10:02:46"
"RUBEN GEARY","2005-08-23 10:20:35"
"HUGH WALDROP","2005-08-23 10:21:21"
"JASON MORRISSEY","2005-08-23 10:23:48"
"CHARLENE ALVAREZ","2005-08-23 10:32:52"
"TERRI VASQUEZ","2005-08-23 10:36:00"
"SHERRI RHODES","2005-08-23 10:43:00"
"EDWIN BURK","2005-08-23 10:56:15"
"MICHELE GRANT","2005-08-23 11:16:16"
"JESSICA HALL","2005-08-23 11:16:29"
"LEWIS LYMAN","2005-08-23 11:22:09"
"AUSTIN CINTRON","2005-08-23 11:25:00"
"MATTHEW MAHAN","2005-08-23 11:30:32"
"KIM CRUZ","2005-08-23 11:33:25"
"ELAINE STEVENS","2005-08-23 11:40:30"
"MARTHA GONZALEZ","2005-08-23 11:55:50"
"AMBER DIXON","2005-08-23 12:12:05"
"MARIAN MENDOZA","2005-08-23 12:26:19"
"BOBBY BOUDREAU","2005-08-23 12:29:24"
"RUSSELL BRINSON","2005-08-23 12:33:00"
"DONNA THOMPSON","2005-08-23 12:41:38"
"CLARA SHAW","2005-08-23 12:43:30"
"ALFRED CASILLAS","2005-08-23 12:46:38"
"ROSA REYNOLDS","2005-08-23 12:47:05"
"GERALD FULTZ","2005-08-23 12:47:16"
"CATHERINE CAMPBELL","2005-08-23 12:47:26"
"PRISCILLA LOWE","2005-08-23 12:50:00"
"JEFFERY PINSON","2005-08-23 12:55:51"
"JACK FOUST","2005-08-23 13:01:43"
"MANUEL MURRELL","2005-08-23 13:06:19"
"TROY QUIGLEY","2005-08-23 13:10:16"
"HEIDI LARSON","2005-08-23 13:14:15"
"CINDY FISHER","2005-08-23 13:18:16"
"CARLA GUTIERREZ","2005-08-23 13:22:56"
"MAXINE SILVA","2005-08-23 13:25:08"
"FRANKLIN TROUTMAN","2005-08-23 13:26:01"
"CHARLOTTE HUNTER","2005-08-23 13:29:08"
"CHAD CARBONE","2005-08-23 13:33:46"
"STELLA MORENO","2005-08-23 13:45:44"
"LANCE PEMBERTON","2005-08-23 13:46:27"
"SHANNON FREEMAN","2005-08-23 13:51:57"
"VIRGIL WOFFORD","2005-08-23 14:05:37"
"ANGEL BARCLAY","2005-08-23 14:13:47"
"VERONICA STONE","2005-08-23 14:26:51"
"DAWN SULLIVAN","2005-08-23 14:27:07"
"SUSAN WILSON","2005-08-23 14:31:19"
"LYNN PAYNE","2005-08-23 14:31:50"
"JUAN FRALEY","2005-08-23 14:35:10"
"DOLORES WAGNER","2005-08-23 14:43:15"
"TOMMY COLLAZO","2005-08-23 14:52:50"
"MARCUS HIDALGO","2005-08-23 14:55:47"
"BRENDA WRIGHT","2005-08-23 14:58:06"
"THOMAS GRIGSBY","2005-08-23 15:03:13"
"LILLIE KIM","2005-08-23 15:03:58"
"BILLY POULIN","2005-08-23 15:09:17"
"ARTHUR SIMPKINS","2005-08-23 15:15:19"
"MELISSA KING","2005-08-23 15:17:14"
"ALVIN DELOACH","2005-08-23 15:19:15"
"LORRAINE STEPHENS","2005-08-23 15:23:50"
"MARJORIE TUCKER","2005-08-23 15:25:27"
"FELICIA SUTTON","2005-08-23 15:29:41"
"SHELLY WATTS","2005-08-23 15:34:46"
"STEVEN CURLEY","2005-08-23 15:34:49"
"JOHNNIE CHISHOLM","2005-08-23 15:35:59"
"JAMIE RICE","2005-08-23 15:36:05"
"JULIA FLORES","2005-08-23 15:38:34"
"FRANCES PARKER","2005-08-23 15:39:18"
"KEN PREWITT","2005-08-23 15:45:42"
"WESLEY BULL","2005-08-23 15:46:33"
"EVA RAMOS","2005-08-23 15:47:02"
"REGINALD KINDER","2005-08-23 15:54:20"
"ISAAC OGLESBY","2005-08-23 15:59:51"
"FLOYD GANDY","2005-08-23 16:08:15"
"JEFFREY SPEAR","2005-08-23 16:17:09"
"MABEL HOLLAND","2005-08-23 16:18:12"
"CHARLES KOWALSKI","2005-08-23 16:19:14"
"KEITH RICO","2005-08-23 16:22:20"
"EVELYN MORGAN","2005-08-23 16:24:24"
"ESTHER CRAWFORD","2005-08-23 16:30:55"
"EVERETT BANDA","2005-08-23 16:33:33"
"MAURICE CRAWLEY","2005-08-23 16:42:53"
"CLAUDE HERZOG","2005-08-23 16:43:54"
"MARTIN BALES","2005-08-23 16:44:25"
"MARK RINEHART","2005-08-23 16:44:31"
"ANDREA HENDERSON","2005-08-23 16:45:28"
"JAIME NETTLES","2005-08-23 16:50:43"
"KEVIN SCHULER","2005-08-23 16:56:14"
"HAROLD MARTINO","2005-08-23 17:09:31"
"BONNIE HUGHES","2005-08-23 17:13:01"
"WALLACE SLONE","2005-08-23 17:16:30"
"CHERYL MURPHY","2005-08-23 17:33:04"
"MICHEAL FORMAN","2005-08-23 17:36:00"
"PATRICIA JOHNSON","2005-08-23 17:39:35"
"RONNIE RICKETTS","2005-08-23 17:43:16"
"PHYLLIS FOSTER","2005-08-23 17:48:30"
"SALLY PIERCE","2005-08-23 17:52:01"
"PATSY DAVIDSON","2005-08-23 17:57:35"
"WILMA RICHARDS","2005-08-23 18:05:10"
"ARNOLD HAVENS","2005-08-23 18:06:54"
"BRANDY GRAVES","2005-08-23 18:08:19"
"DARREN WINDHAM","2005-08-23 18:08:59"
"TONY CARRANZA","2005-08-23 18:23:11"
"DAN PAINE","2005-08-23 18:23:30"
"CARLOS COUGHLIN","2005-08-23 18:26:51"
"TANYA GILBERT","2005-08-23 18:28:09"
"JUNE CARROLL","2005-08-23 18:36:44"
"KRISTEN CHAVEZ","2005-08-23 18:43:22"
"PETER MENARD","2005-08-23 18:43:31"
"VICTOR BARKLEY","2005-08-23 18:44:21"
"JACQUELINE LONG","2005-08-23 18:45:06"
"ELLA OLIVER","2005-08-23 18:48:40"
"ROGER QUINTANILLA","2005-08-23 18:50:54"
"ROSS GREY","2005-08-23 18:54:32"
"MITCHELL WESTMORELAND","2005-08-23 18:59:33"
"TODD TAN","2005-08-23 19:06:04"
"TRACEY BARRETT","2005-08-23 19:09:39"
"THEODORE CULP","2005-08-23 19:10:32"
"PEARL GARZA","2005-08-23 19:11:29"
"TYRONE ASHER","2005-08-23 19:13:46"
"LEON BOSTIC","2005-08-23 19:14:07"
"JEFF EAST","2005-08-23 19:21:22"
"LESTER KRAUS","2005-08-23 19:22:36"
"GLENN PULLEN","2005-08-23 19:27:04"
"EMMA BOYD","2005-08-23 19:42:46"
"DEBBIE REYES","2005-08-23 19:45:25"
"RAUL FORTIER","2005-08-23 19:46:39"
"MARSHA DOUGLAS","2005-08-23 19:51:29"
"JOHNNY TURPIN","2005-08-23 19:54:24"
"BRITTANY RILEY","2005-08-23 19:59:33"
"DEBORAH WALKER","2005-08-23 20:00:30"
"DOUGLAS GRAF","2005-08-23 20:04:41"
"VICKI FIELDS","2005-08-23 20:06:04"
"YVONNE WATKINS","2005-08-23 20:06:23"
"FERNANDO CHURCHILL","2005-08-23 20:08:26"
"ALMA AUSTIN","2005-08-23 20:10:13"
"RICARDO MEADOR","2005-08-23 20:12:17"
"WAYNE TRUONG","2005-08-23 20:13:31"
"JEROME KENYON","2005-08-23 20:13:38"
"DANA HART","2005-08-23 20:20:23"
"MICHAEL SILVERMAN","2005-08-23 20:22:17"
"BRYAN HARDISON","2005-08-23 20:23:08"
"DIANA ALEXANDER","2005-08-23 20:24:36"
"TARA RYAN","2005-08-23 20:27:34"
"TRACY HERRMANN","2005-08-23 20:28:32"
"NANCY THOMAS","2005-08-23 20:28:44"
"MEGAN PALMER","2005-08-23 20:31:38"
"JULIO NOLAND","2005-08-23 20:41:09"
"HOWARD FORTNER","2005-08-23 20:44:10"
"KATHY JAMES","2005-08-23 20:44:36"
"CLIFTON MALCOLM","2005-08-23 20:47:28"
"JOANNE ROBERTSON","2005-08-23 20:53:20"
"LEO EBERT","2005-08-23 21:00:22"
"ELLEN SIMPSON","2005-08-23 21:02:43"
"LORETTA CARPENTER","2005-08-23 21:04:51"
"PAULINE HENRY","2005-08-23 21:07:59"
"AUDREY RAY","2005-08-23 21:10:24"
"ALAN KAHN","2005-08-23 21:11:33"
"WARREN SHERROD","2005-08-23 21:17:17"
"DIANE COLLINS","2005-08-23 21:25:03"
"TERRENCE GUNDERSON","2005-08-23 21:26:35"
"JAVIER ELROD","2005-08-23 21:27:11"
"ALEXANDER FENNELL","2005-08-23 21:27:35"
"BILLIE HORTON","2005-08-23 21:30:45"
"PAUL TROUT","2005-08-23 21:34:33"
"GEORGE LINTON","2005-08-23 21:37:59"
"NATHANIEL ADAM","2005-08-23 21:44:27"
"SHEILA WELLS","2005-08-23 21:45:02"
"JORGE OLIVARES","2005-08-23 21:46:47"
"DAVE GARDINER","2005-08-23 21:48:54"
"ROBERTO VU","2005-08-23 21:49:22"
"ERIN DUNN","2005-08-23 21:49:33"
"SHERRY MARSHALL","2005-08-23 21:52:56"
"LESLIE GORDON","2005-08-23 21:54:02"
"RHONDA KENNEDY","2005-08-23 21:56:04"
"CRYSTAL FORD","2005-08-23 21:59:26"
"CLIFFORD BOWENS","2005-08-23 21:59:57"
"MAUREEN LITTLE","2005-08-23 22:06:15"
"BRETT CORNWELL","2005-08-23 22:06:34"
"PAMELA BAKER","2005-08-23 22:08:04"
"FRANCIS SIKES","2005-08-23 22:12:44"
"JANET PHILLIPS","2005-08-23 22:13:04"
"BERNICE WILLIS","2005-08-23 22:14:31"
"LORI WOOD","2005-08-23 22:18:51"
"VANESSA SIMS","2005-08-23 22:19:33"
"JOSEPHINE GOMEZ","2005-08-23 22:20:26"
"MONICA HICKS","2005-08-23 22:20:40"
"KARL SEAL","2005-08-23 22:21:03"
"TIM CARY","2005-08-23 22:24:39"
"DENISE KELLY","2005-08-23 22:26:47"
"GLADYS HAMILTON","2005-08-23 22:43:07"
"PHILIP CAUSEY","2005-08-23 22:50:12"
"ELIZABETH BROWN","2006-02-14 15:16:03"
"MARGARET MOORE","2006-02-14 15:16:03"
"LISA ANDERSON","2006-02-14 15:16:03"
"BETTY WHITE","2006-02-14 15:16:03"
"HELEN HARRIS","2006-02-14 15:16:03"
"MICHELLE CLARK","2006-02-14 15:16:03"
"LAURA RODRIGUEZ","2006-02-14 15:16:03"
"SARAH LEWIS","2006-02-14 15:16:03"
"CYNTHIA YOUNG","2006-02-14 15:16:03"
"ANGELA HERNANDEZ","2006-02-14 15:16:03"
"ANNA HILL","2006-02-14 15:16:03"
"STEPHANIE MITCHELL","2006-02-14 15:16:03"
"CAROLYN PEREZ","2006-02-14 15:16:03"
"CHRISTINE ROBERTS","2006-02-14 15:16:03"
"MARIE TURNER","2006-02-14 15:16:03"
"JULIE SANCHEZ","2006-02-14 15:16:03"
"HEATHER MORRIS","2006-02-14 15:16:03"
"GLORIA COOK","2006-02-14 15:16:03"
"JEAN BELL","2006-02-14 15:16:03"
"MILDRED BAILEY","2006-02-14 15:16:03"
"JUDITH COX","2006-02-14 15:16:03"
"JUDY GRAY","2006-02-14 15:16:03"
"BEVERLY BROOKS","2006-02-14 15:16:03"
"TAMMY SANDERS","2006-02-14 15:16:03"
"MARILYN ROSS","2006-02-14 15:16:03"
"LOUISE JENKINS","2006-02-14 15:16:03"
"WANDA PATTERSON","2006-02-14 15:16:03"
"LOIS BUTLER","2006-02-14 15:16:03"
"NORMA GONZALES","2006-02-14 15:16:03"
"EMILY DIAZ","2006-02-14 15:16:03"
"ROBIN HAYES","2006-02-14 15:16:03"
"PEGGY MYERS","2006-02-14 15:16:03"
"FLORENCE WOODS","2006-02-14 15:16:03"
"TRACY COLE","2006-02-14 15:16:03"
"CARMEN OWENS","2006-02-14 15:16:03"
"GRACE ELLIS","2006-02-14 15:16:03"
"WENDY HARRISON","2006-02-14 15:16:03"
"SYLVIA ORTIZ","2006-02-14 15:16:03"
"JUANITA MASON","2006-02-14 15:16:03"
"APRIL BURNS","2006-02-14 15:16:03"
"ALICIA MILLS","2006-02-14 15:16:03"
"GAIL KNIGHT","2006-02-14 15:16:03"
"LAUREN HUDSON","2006-02-14 15:16:03"
"CATHY SPENCER","2006-02-14 15:16:03"
"REGINA BERRY","2006-02-14 15:16:03"
"ANNETTE OLSON","2006-02-14 15:16:03"
"MARION SNYDER","2006-02-14 15:16:03"
"STACY CUNNINGHAM","2006-02-14 15:16:03"
"ANA BRADLEY","2006-02-14 15:16:03"
"HOLLY FOX","2006-02-14 15:16:03"
"MELANIE ARMSTRONG","2006-02-14 15:16:03"
"YOLANDA WEAVER","2006-02-14 15:16:03"
"JEANETTE GREENE","2006-02-14 15:16:03"
"LAURIE LAWRENCE","2006-02-14 15:16:03"
"KATIE ELLIOTT","2006-02-14 15:16:03"
"BETH FRANKLIN","2006-02-14 15:16:03"
"JEANNE LAWSON","2006-02-14 15:16:03"
"LUCY WHEELER","2006-02-14 15:16:03"
"STACEY MONTGOMERY","2006-02-14 15:16:03"
"GINA WILLIAMSON","2006-02-14 15:16:03"
"KRISTIN JOHNSTON","2006-02-14 15:16:03"
"JESSIE BANKS","2006-02-14 15:16:03"
"NATALIE MEYER","2006-02-14 15:16:03"
"WILLIE HOWELL","2006-02-14 15:16:03"
"COLLEEN BURTON","2006-02-14 15:16:03"
"ALLISON STANLEY","2006-02-14 15:16:03"
"TAMARA NGUYEN","2006-02-14 15:16:03"
"CLAUDIA FULLER","2006-02-14 15:16:03"
"MARCIA DEAN","2006-02-14 15:16:03"
"VIOLA HANSON","2006-02-14 15:16:03"
"COURTNEY DAY","2006-02-14 15:16:03"
"VICKIE BREWER","2006-02-14 15:16:03"
"MATTIE HOFFMAN","2006-02-14 15:16:03"
"HILDA HOPKINS","2006-02-14 15:16:03"
"GWENDOLYN MAY","2006-02-14 15:16:03"
"MARGIE WADE","2006-02-14 15:16:03"
"CASSANDRA WALTERS","2006-02-14 15:16:03"
"NAOMI JENNINGS","2006-02-14 15:16:03"
"DIANNE SHELTON","2006-02-14 15:16:03"
"JENNY CASTRO","2006-02-14 15:16:03"
"SONIA GREGORY","2006-02-14 15:16:03"
"BECKY MILES","2006-02-14 15:16:03"
"DAISY BATES","2006-02-14 15:16:03"
"RAMONA HALE","2006-02-14 15:16:03"
"JOHN FARNSWORTH","2006-02-14 15:16:03"
"KENNETH GOODEN","2006-02-14 15:16:03"
"EDWARD BAUGH","2006-02-14 15:16:03"
"GARY COY","2006-02-14 15:16:03"
"LARRY THRASHER","2006-02-14 15:16:03"
"SCOTT SHELLEY","2006-02-14 15:16:03"
"RAYMOND MCWHORTER","2006-02-14 15:16:03"
"GREGORY MAULDIN","2006-02-14 15:16:03"
"JOSHUA MARK","2006-02-14 15:16:03"
"JERRY JORDON","2006-02-14 15:16:03"
"JOE GILLILAND","2006-02-14 15:16:03"
"ALBERT CROUSE","2006-02-14 15:16:03"
"JUSTIN NGO","2006-02-14 15:16:03"
"TERRY GRISSOM","2006-02-14 15:16:03"
"WILLIE MARKHAM","2006-02-14 15:16:03"
"LAWRENCE LAWTON","2006-02-14 15:16:03"
